,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
152,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,73,,,0,0,0,,,,,,,,1.0,,
153,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,91,,,0,0,0,,,,,,,,1.0,,
154,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,92,,,0,0,0,,,,,,,,,1.0,
155,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,72,,,0,0,0,,,,,,,,,,1.0
156,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,75,,,0,0,0,,,,,,,,,,1.0
157,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,76,,,0,0,0,,,,,,,,,,1.0
158,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,78,,,0,0,0,,,,,,,,,,1.0
159,Zürich (ZH),2021-12-01,20211217_HVTWGDRXY,10_2021_12_01,88,,,0,0,0,,,,,,,,,,1.0
160,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,71,,,0,0,0,1.0,,,,,,,,,
161,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,95,0.0,2.0,1761,0,0,1.0,,,,,,,,,
162,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,77,,,0,0,0,,1.0,,,,,,,,
163,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,72,,,0,0,0,,,1.0,,,,,,,
164,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,78,,,0,0,0,,,1.0,,,,,,,
165,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,92,,,0,0,0,,,1.0,,,,,,,
166,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,93,,,0,0,0,,,1.0,,,,,,,
167,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,76,,,0,0,0,1.0,,,1.0,,,,,,
168,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,73,,,0,0,0,,,,1.0,,,,,,
169,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,91,,,0,0,0,,,,,1.0,,,,,
170,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,76,,,0,0,0,,,,,,1.0,1.0,,,
171,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,76,,,0,0,0,,,,,1.0,,,1.0,,
172,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,73,,,0,0,0,,,,,,,,1.0,,
173,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,91,,,0,0,0,,,,,,,,1.0,,
174,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,92,,,0,0,0,,,,,,,,,1.0,
175,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,72,,,0,0,0,,,,,,,,,,1.0
176,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,75,,,0,0,0,,,,,,,,,,1.0
177,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,76,,,0,0,0,,,,,,,,,,1.0
178,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,78,,,0,0,0,,,,,,,,,,1.0
179,Zürich (ZH),2021-12-02,20211217_HVTWGDRXY,10_2021_12_02,88,,,0,0,0,,,,,,,,,,1.0
180,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,71,,,0,0,0,1.0,,,,,,,,,
181,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,95,0.0,2.0,5245,0,0,1.0,,,,,,,,,
182,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,77,,,0,0,0,,1.0,,,,,,,,
183,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,72,,,0,0,0,,,1.0,,,,,,,
184,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,78,,,0,0,0,,,1.0,,,,,,,
185,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,92,,,0,0,0,,,1.0,,,,,,,
186,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,93,,,0,0,0,,,1.0,,,,,,,
187,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,76,,,0,0,0,1.0,,,1.0,,,,,,
188,Zürich (ZH),2021-12-03,20211217_HVTWGDRXY,10_2021_12_03,73,,,0,0,0,,,,1.0,,,,,,
